t_s,alpha_deg,q_deg_s,theta_deg,delta_e_deg
0.0,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0
0.006,0.0,0.0,0.0,0.0
0.008,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.012,0.0,0.0,0.0,0.0
0.014,0.0,0.0,0.0,0.0
0.016,0.0,0.0,0.0,0.0
0.018000000000000002,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0
0.022,0.0,0.0,0.0,0.0
0.024,0.0,0.0,0.0,0.0
0.026000000000000002,0.0,0.0,0.0,0.0
0.028,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0
0.032,0.0,0.0,0.0,0.0
0.034,0.0,0.0,0.0,0.0
0.036000000000000004,0.0,0.0,0.0,0.0
0.038,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0
0.042,0.0,0.0,0.0,0.0
0.044,0.0,0.0,0.0,0.0
0.046,0.0,0.0,0.0,0.0
0.048,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.052000000000000005,0.0,0.0,0.0,0.0
0.054,0.0,0.0,0.0,0.0
0.056,0.0,0.0,0.0,0.0
0.058,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0
0.062,0.0,0.0,0.0,0.0
0.064,0.0,0.0,0.0,0.0
0.066,0.0,0.0,0.0,0.0
0.068,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0
0.07200000000000001,0.0,0.0,0.0,0.0
0.074,0.0,0.0,0.0,0.0
0.076,0.0,0.0,0.0,0.0
0.078,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0
0.082,0.0,0.0,0.0,0.0
0.084,0.0,0.0,0.0,0.0
0.08600000000000001,0.0,0.0,0.0,0.0
0.088,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.0
0.092,0.0,0.0,0.0,0.0
0.094,0.0,0.0,0.0,0.0
0.096,0.0,0.0,0.0,0.0
0.098,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.10200000000000001,0.0,0.0,0.0,0.0
0.10400000000000001,0.0,0.0,0.0,0.0
0.106,0.0,0.0,0.0,0.0
0.108,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,0.0
0.112,0.0,0.0,0.0,0.0
0.114,0.0,0.0,0.0,0.0
0.116,0.0,0.0,0.0,0.0
0.11800000000000001,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0
0.122,0.0,0.0,0.0,0.0
0.124,0.0,0.0,0.0,0.0
0.126,0.0,0.0,0.0,0.0
0.128,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0
0.132,0.0,0.0,0.0,0.0
0.134,0.0,0.0,0.0,0.0
0.136,0.0,0.0,0.0,0.0
0.138,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0
0.14200000000000002,0.0,0.0,0.0,0.0
0.14400000000000002,0.0,0.0,0.0,0.0
0.146,0.0,0.0,0.0,0.0
0.148,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.152,0.0,0.0,0.0,0.0
0.154,0.0,0.0,0.0,0.0
0.156,0.0,0.0,0.0,0.0
0.158,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0
0.162,0.0,0.0,0.0,0.0
0.164,0.0,0.0,0.0,0.0
0.166,0.0,0.0,0.0,0.0
0.168,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.0,0.0
0.17200000000000001,0.0,0.0,0.0,0.0
0.17400000000000002,0.0,0.0,0.0,0.0
0.176,0.0,0.0,0.0,0.0
0.178,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0
0.182,0.0,0.0,0.0,0.0
0.184,0.0,0.0,0.0,0.0
0.186,0.0,0.0,0.0,0.0
0.188,0.0,0.0,0.0,0.0
0.19,0.0,0.0,0.0,0.0
0.192,0.0,0.0,0.0,0.0
0.194,0.0,0.0,0.0,0.0
0.196,0.0,0.0,0.0,0.0
0.198,0.0,0.0,0.0,0.0
0.2,0.001078,0.13122853333333337,0.0,-5.0
0.202,0.008489713393895114,0.9132716078818184,0.0010458384458977776,-5.0
0.20400000000000001,0.01729166609933691,1.687220448928486,0.003647689956988119,-5.0
0.20600000000000002,0.027451978166442164,2.452951005275065,0.00778924107018272,-5.0
0.20800000000000002,0.03893891521376614,3.210344859633629,0.013453935865747602,-5.0
0.21,0.051720897344704406,3.959289157256457,0.020624987163860405,-5.0
0.212,0.06576650782264248,4.699676533945545,0.029285387577800377,-5.0
0.214,0.08104450150655701,5.431405043481522,0.03941792042257023,-5.0
0.216,0.09752381304882685,6.154378084511159,0.051005170477827905,-5.0
0.218,0.11517356485706558,6.868504326932017,0.06402953460408417,-5.0
0.22,0.1339630748218386,7.573697637812202,0.0784732322111983,-5.0
0.222,0.15386186381217698,8.269877006882593,0.09431831557827958,-5.0
0.224,0.17483966294084824,8.956966471638266,0.11154668002417636,-5.0
0.226,0.19686642060139098,9.634895042085285,0.13014007392780746,-5.0
0.228,0.21991230927896346,10.303596625168357,0.150080108597662,-5.0
0.23,0.2439477321371001,10.963009948914301,0.1713482679898646,-5.0
0.232,0.26894332938251037,11.613078486325609,0.1939259182742722,-5.0
0.234,0.29486998441009366,12.253750379057818,0.2177943172481358,-5.0
0.23600000000000002,0.32169882973038294,12.884978360913767,0.24293462359692874,-5.0
0.23800000000000002,0.3494012526816637,13.50671968118722,0.26932790600200746,-5.0
0.24,0.3779489009290518,14.118936027887704,0.29695515209483514,-5.0
0.242,0.40731368775284577,14.721593450877824,0.3257972772575627,-5.0
0.244,0.43746779712849954,15.314662284953707,0.35583513326982247,-5.0
0.246,0.4683836886005945,15.898117072898577,0.38704951680165056,-5.0
0.248,0.5000341019532141,16.47193648853894,0.4194211777525147,-5.0
0.25,0.5323920616791554,17.036103259832124,0.45293082743648055,-5.0
0.252,0.5654308812504337,17.590604092013493,0.48755914661360833,-5.0
0.254,0.5991241671925643,18.135429590830828,0.5232867933677265,-5.0
0.256,0.6334458229651235,18.670574185893003,0.5600944108307842,-5.0
0.258,0.6683700526511163,19.196036054159304,0.5979626347540367,-5.0
0.26,0.7038713644576959,19.711817043595214,0.6368721009263726,-5.0
0.262,0.7399245740307998,20.217922597019935,0.6768034524401396,-5.0
0.264,0.7765048075862814,20.714361676170217,0.7177373468048778,-5.0
0.266,0.813587504860137,21.20114668600462,0.7596544629094164,-5.0
0.268,0.8511484218804376,21.67829339927159,0.8025355078328406,-5.0
0.27,0.8891636335635918,22.145820881364312,0.8463612235048754,-5.0
0.272,0.9276095361375748,22.603751415484584,0.8911123932162869,-5.0
0.274,0.966462849394772,23.052110428137475,0.9367698479799358,-5.0
0.276,1.0057006187770943,23.490926414977896,0.9833144727431713,-5.0
0.278,1.0453002172960295,23.920230867029748,1.030727212452286,-5.0
0.28,1.0852393472903037,24.340058197297562,1.078989077969798,-5.0
0.28200000000000003,1.125496042023829,24.75044566779022,1.1280811518453653,-5.0
0.28400000000000003,1.1660486671266221,25.151433316975588,1.1779845939411775,-5.0
0.28600000000000003,1.2068759218813823,25.543063887684454,1.2286806469126994,-5.0
0.28800000000000003,1.2479568403584147,25.92538275548162,1.2801506415456896,-5.0
0.29,1.2892707924015943,26.298437857521375,1.3323760019504416,-5.0
0.292,1.3307974844680608,26.66227962190411,1.3853382506142349,-5.0
0.294,1.3725169603243348,27.016960897550295,1.4390190133130125,-5.0
0.296,1.4144096016015482,27.362536884607515,1.49340002388334,-5.0
0.298,1.4564561282124733,27.699065065405637,1.5484631288557202,-5.0
